Step	Suggestion	Action	Compliance	Reward	True_mu	Estimated_mu	Temperature	Q_max
328	2.3737	2.3722	0.9929	1.1146	2.3050	2.4329	0.3793	1.1112
329	3.0303	2.6517	0.4552	0.7466	2.3060	2.4413	0.3795	1.1112
330	2.3737	2.3756	0.9933	1.1164	2.3070	2.4384	0.3795	1.1139
331	2.6263	2.5703	0.8590	1.0783	2.3080	2.4778	0.3796	1.1139
332	2.4747	2.4653	0.9596	1.1218	2.3090	2.4870	0.3793	1.1176
333	2.9798	2.6418	0.5102	0.7933	2.3100	2.5047	0.3791	1.1176
334	2.4242	2.4173	0.9809	1.1231	2.3110	2.5238	0.3787	1.1176
335	2.8283	2.6586	0.6704	0.9556	2.3120	2.5349	0.3781	1.1176
336	2.3737	2.3743	0.9945	1.1193	2.3130	2.5133	0.3776	1.1176
337	2.3232	2.3229	0.9999	1.1060	2.3140	2.4850	0.3772	1.1176
338	2.5758	2.5290	0.9030	1.0991	2.3150	2.5007	0.3770	1.1176
339	2.6263	2.5807	0.8655	1.0912	2.3160	2.4936	0.3767	1.1176
340	3.1313	2.5436	0.3698	0.6076	2.3170	2.5104	0.3765	1.1176
341	2.8788	2.7119	0.6239	0.9491	2.3180	2.5245	0.3762	1.1176
342	2.3737	2.3739	0.9955	1.1202	2.3190	2.5154	0.3757	1.1190
343	2.6768	2.5889	0.8262	1.0592	2.3200	2.5101	0.3754	1.1190
344	2.8788	2.6361	0.6271	0.9006	2.3210	2.5320	0.3751	1.1190
345	2.6263	2.5736	0.8703	1.0929	2.3220	2.5235	0.3747	1.1190
346	2.2727	2.2740	0.9962	1.0885	2.3230	2.5135	0.3743	1.1190
347	2.6768	2.5966	0.8297	1.0683	2.3240	2.5408	0.3740	1.1190
348	2.6263	2.5985	0.8727	1.1104	2.3250	2.5478	0.3736	1.1190
349	2.5253	2.5064	0.9422	1.1266	2.3260	2.5403	0.3731	1.1190
350	2.4242	2.4277	0.9859	1.1323	2.3270	2.5288	0.3727	1.1265
351	2.5253	2.5165	0.9433	1.1316	2.3280	2.5092	0.3724	1.1265
352	3.4848	2.4435	0.1348	0.3556	2.3290	2.5162	0.3722	1.1265
353	2.3232	2.3212	0.9999	1.1057	2.3300	2.4894	0.3720	1.1265
354	2.8283	2.7152	0.6901	1.0138	2.3310	2.4973	0.3720	1.1265
355	2.8788	2.7321	0.6386	0.9786	2.3320	2.5132	0.3719	1.1265
356	3.5354	2.5293	0.1144	0.3793	2.3330	2.5387	0.3718	1.1265
357	2.6263	2.6025	0.8797	1.1195	2.3340	2.5393	0.3714	1.1265
358	2.5253	2.5180	0.9472	1.1369	2.3350	2.5312	0.3711	1.1327
359	2.9293	2.7256	0.5898	0.9295	2.3360	2.5532	0.3708	1.1327
360	2.6263	2.5885	0.8820	1.1147	2.3370	2.5692	0.3704	1.1327
361	2.5253	2.5215	0.9488	1.1416	2.3380	2.5697	0.3699	1.1380
362	2.7778	2.7113	0.7492	1.0706	2.3390	2.5965	0.3694	1.1380
363	3.8384	2.4451	0.0345	0.2800	2.3400	2.6089	0.3687	1.1380
364	2.4747	2.4656	0.9735	1.1392	2.3410	2.5840	0.3680	1.1380
365	2.7778	2.6719	0.7521	1.0449	2.3420	2.5779	0.3675	1.1380
366	2.5758	2.5611	0.9220	1.1376	2.3430	2.5811	0.3670	1.1380
367	2.2222	2.2243	0.9780	1.0583	2.3440	2.5433	0.3665	1.1380
368	2.9798	2.7325	0.5464	0.8953	2.3450	2.5648	0.3664	1.1380
369	2.4242	2.4225	0.9909	1.1355	2.3460	2.5344	0.3660	1.1380
370	2.6768	2.6492	0.8495	1.1206	2.3470	2.5405	0.3659	1.1380
371	2.6263	2.6020	0.8903	1.1301	2.3480	2.5486	0.3658	1.1380
372	2.2727	2.2754	0.9913	1.0837	2.3490	2.5050	0.3656	1.1380
373	2.6768	2.6382	0.8520	1.1155	2.3500	2.5243	0.3658	1.1380
374	3.9394	2.4337	0.0227	0.2626	2.3510	2.5211	0.3658	1.1380
375	2.3737	2.3729	0.9993	1.1229	2.3520	2.4912	0.3658	1.1380
376	2.3232	2.3246	0.9987	1.1048	2.3530	2.4675	0.3660	1.1380
377	2.4747	2.4642	0.9784	1.1402	2.3540	2.4915	0.3664	1.1380
378	2.6263	2.5969	0.8955	1.1300	2.3550	2.4780	0.3666	1.1380
379	2.5758	2.5509	0.9301	1.1373	2.3560	2.4908	0.3669	1.1380
380	2.8283	2.6665	0.7167	1.0057	2.3570	2.4925	0.3671	1.1380
381	2.5253	2.5130	0.9589	1.1446	2.3580	2.4836	0.3673	1.1420
382	2.5253	2.5297	0.9594	1.1543	2.3590	2.5091	0.3675	1.1494
383	2.4747	2.4698	0.9804	1.1448	2.3600	2.4922	0.3675	1.1494
384	2.6768	2.6470	0.8611	1.1299	2.3610	2.5136	0.3677	1.1494
385	2.5253	2.5270	0.9608	1.1550	2.3620	2.5290	0.3677	1.1527
386	2.3232	2.3237	0.9976	1.1054	2.3630	2.5289	0.3676	1.1527
387	2.6263	2.5990	0.9020	1.1398	2.3640	2.5424	0.3675	1.1527
388	2.6263	2.6034	0.9027	1.1431	2.3650	2.5430	0.3673	1.1527
389	3.2323	2.6121	0.3244	0.6106	2.3660	2.5491	0.3671	1.1527
390	2.8788	2.7196	0.6751	1.0071	2.3670	2.5544	0.3668	1.1527
391	2.3737	2.3746	1.0000	1.1258	2.3680	2.5406	0.3666	1.1527
392	2.6768	2.6554	0.8676	1.1432	2.3690	2.5532	0.3664	1.1527
393	3.0303	2.7664	0.5200	0.8999	2.3700	2.5828	0.3662	1.1527
394	3.1313	2.6894	0.4202	0.7500	2.3710	2.5871	0.3657	1.1527
395	2.6768	2.6389	0.8699	1.1366	2.3720	2.5983	0.3653	1.1527
396	2.5758	2.5714	0.9402	1.1632	2.3730	2.6230	0.3647	1.1527
397	2.6263	2.6036	0.9090	1.1526	2.3740	2.6235	0.3641	1.1527
398	2.7273	2.6871	0.8302	1.1329	2.3750	2.6319	0.3634	1.1527
399	3.5859	2.5961	0.1113	0.4198	2.3760	2.6302	0.3627	1.1527
400	2.5758	2.5636	0.9425	1.1609	2.3770	2.6146	0.3621	1.1565
